county_name,total_population,percent_under_18,median_household_income,poverty_rate,unemployment_rate,broadband_internet_rate,state,county,GEOID
"Autauga County, Alabama",59947,23.4,72481,11.3,2.4,93.2,01,001,01001
"Baldwin County, Alabama",246989,21.1,78775,10.1,3.0,90.6,01,003,01003
"Barbour County, Alabama",24643,20.7,46042,21.4,7.8,75.5,01,005,01005
"Bibb County, Alabama",22130,20.0,52541,22.5,12.1,82.9,01,007,01007
"Blount County, Alabama",59518,23.1,64190,12.9,5.0,85.0,01,009,01009
"Bullock County, Alabama",10058,20.6,31310,33.3,7.2,68.1,01,011,01011
"Butler County, Alabama",18630,22.1,44755,22.4,6.5,82.7,01,013,01013
"Calhoun County, Alabama",116090,21.4,55029,17.9,6.0,87.3,01,015,01015
"Chambers County, Alabama",34192,20.9,49656,15.7,5.1,82.1,01,017,01017
"Cherokee County, Alabama",25443,18.6,53863,14.8,3.9,82.6,01,019,01019
"Chilton County, Alabama",45992,24.1,65603,14.0,5.5,83.3,01,021,01021
"Choctaw County, Alabama",12380,19.7,47813,16.5,5.0,76.1,01,023,01023
"Clarke County, Alabama",22543,21.5,49249,20.1,9.2,73.7,01,025,01025
"Clay County, Alabama",14192,21.0,55250,17.6,2.4,80.4,01,027,01027
"Cleburne County, Alabama",15426,22.0,55345,13.7,2.6,76.0,01,029,01029
"Coffee County, Alabama",54920,24.1,68353,16.7,5.1,86.8,01,031,01031
"Colbert County, Alabama",58022,21.3,60628,17.4,3.1,81.9,01,033,01033
"Conecuh County, Alabama",11275,20.1,41327,27.8,8.7,72.7,01,035,01035
"Coosa County, Alabama",10300,17.4,57355,13.1,6.2,80.7,01,037,01037
"Covington County, Alabama",37628,22.2,52456,19.2,5.2,83.8,01,039,01039
"Crenshaw County, Alabama",13122,22.8,48560,17.9,5.4,69.2,01,041,01041
"Cullman County, Alabama",90566,22.4,62656,15.3,3.8,87.3,01,043,01043
"Dale County, Alabama",49599,23.3,54963,18.7,6.6,86.0,01,045,01045
"Dallas County, Alabama",36858,23.6,35627,31.0,11.0,80.5,01,047,01047
"DeKalb County, Alabama",72269,24.0,51204,22.4,4.1,86.9,01,049,01049
"Elmore County, Alabama",89526,21.6,78243,10.3,4.6,91.7,01,051,01051
"Escambia County, Alabama",36629,22.7,48225,20.0,10.1,79.0,01,053,01053
"Etowah County, Alabama",103105,21.9,54563,16.9,5.9,87.5,01,055,01055
"Fayette County, Alabama",16053,21.2,49488,21.8,8.4,80.9,01,057,01057
"Franklin County, Alabama",31966,25.2,53338,19.1,3.6,72.0,01,059,01059
"Geneva County, Alabama",26887,22.0,52771,19.2,5.6,79.6,01,061,01061
"Greene County, Alabama",7424,21.6,29200,40.1,4.0,67.0,01,063,01063
"Hale County, Alabama",14829,24.2,39250,24.6,6.0,75.4,01,065,01065
"Henry County, Alabama",17647,20.4,59931,18.3,3.6,82.5,01,067,01067
"Houston County, Alabama",108140,22.9,58626,17.5,4.5,86.5,01,069,01069
"Jackson County, Alabama",53053,20.8,51908,17.3,4.5,89.9,01,071,01071
"Jefferson County, Alabama",667755,22.9,66388,15.7,4.7,90.4,01,073,01073
"Lamar County, Alabama",13693,22.1,50000,18.0,5.5,77.7,01,075,01075
"Lauderdale County, Alabama",95830,19.4,62649,12.2,4.1,85.1,01,077,01077
"Lawrence County, Alabama",33276,21.8,66071,13.3,2.0,79.0,01,079,01079
"Lee County, Alabama",181134,20.9,65824,18.9,3.5,88.9,01,081,01081
"Limestone County, Alabama",111233,22.2,83629,10.0,3.3,88.0,01,083,01083
"Lowndes County, Alabama",9833,21.9,37052,29.9,6.8,72.5,01,085,01085
"Macon County, Alabama",18691,15.4,43707,24.3,8.3,79.1,01,087,01087
"Madison County, Alabama",405718,21.6,86499,10.1,3.6,92.3,01,089,01089
"Marengo County, Alabama",18851,22.0,43825,21.9,4.1,78.0,01,091,01091
"Marion County, Alabama",29184,21.1,50088,16.2,5.0,79.0,01,093,01093
"Marshall County, Alabama",99748,26.0,62571,16.6,3.9,90.1,01,095,01095
"Mobile County, Alabama",412590,23.3,58880,16.2,5.3,86.3,01,097,01097
"Monroe County, Alabama",19388,21.2,42292,20.1,10.4,76.9,01,099,01099
"Montgomery County, Alabama",226718,24.1,59386,19.9,5.9,90.3,01,101,01101
"Morgan County, Alabama",124471,23.4,68845,13.5,3.7,86.0,01,103,01103
"Perry County, Alabama",8031,21.3,37654,31.4,16.5,75.5,01,105,01105
"Pickens County, Alabama",18721,19.1,46274,20.0,4.7,80.1,01,107,01107
"Pike County, Alabama",32987,19.3,48677,23.3,3.7,81.9,01,109,01109
"Randolph County, Alabama",22510,20.9,52338,19.9,3.8,84.9,01,111,01111
"Russell County, Alabama",58811,24.3,51197,22.2,6.2,79.7,01,113,01113
"St. Clair County, Alabama",94166,22.2,77463,11.4,4.6,91.1,01,115,01115
"Shelby County, Alabama",230211,22.8,97961,7.2,2.9,94.7,01,117,01117
"Sumter County, Alabama",11878,19.3,33310,26.5,12.1,76.0,01,119,01119
"Talladega County, Alabama",81021,20.6,57776,17.8,6.8,87.2,01,121,01121
"Tallapoosa County, Alabama",40938,20.1,59356,16.3,4.9,83.9,01,123,01123
"Tuscaloosa County, Alabama",237552,20.5,66231,16.8,5.8,88.6,01,125,01125
"Walker County, Alabama",64841,22.9,56509,18.5,4.9,84.7,01,127,01127
"Washington County, Alabama",15143,20.0,61042,17.1,4.9,81.2,01,129,01129
"Wilcox County, Alabama",10172,22.2,40640,28.2,11.8,78.9,01,131,01131
"Winston County, Alabama",23682,20.6,57256,18.7,3.6,81.8,01,133,01133
"Aleutians East Borough, Alaska",3491,14.0,65365,13.2,8.4,64.1,02,013,02013
"Aleutians West Census Area, Alaska",5235,9.2,135500,11.3,4.3,85.6,02,016,02016
"Anchorage Municipality, Alaska",288976,23.5,103284,8.9,4.6,94.5,02,020,02020
"Bethel Census Area, Alaska",18394,34.7,73996,25.6,15.9,84.9,02,050,02050
"Bristol Bay Borough, Alaska",918,14.9,95625,9.3,4.4,86.6,02,060,02060
"Chugach Census Area, Alaska",6862,20.9,90509,5.9,9.5,96.9,02,063,02063
"Copper River Census Area, Alaska",2626,26.3,79250,8.7,4.8,85.3,02,066,02066
"Denali Borough, Alaska",1969,14.6,80781,8.3,0.9,84.6,02,068,02068
"Dillingham Census Area, Alaska",4724,30.9,78533,19.5,10.5,84.7,02,070,02070
"Fairbanks North Star Borough, Alaska",95460,23.7,88267,6.1,5.3,91.5,02,090,02090
"Haines Borough, Alaska",2086,22.1,86927,5.4,4.7,90.5,02,100,02100
"Hoonah-Angoon Census Area, Alaska",2311,17.0,61406,14.2,15.8,77.1,02,105,02105
"Juneau City and Borough, Alaska",31794,20.4,101661,8.9,4.0,94.3,02,110,02110
"Kenai Peninsula Borough, Alaska",60413,22.0,80538,11.8,7.0,89.3,02,122,02122
"Ketchikan Gateway Borough, Alaska",13768,20.2,92885,8.7,3.1,92.0,02,130,02130
"Kodiak Island Borough, Alaska",12771,23.7,86250,8.7,5.0,92.7,02,150,02150
"Kusilvak Census Area, Alaska",8176,42.1,51471,32.4,19.8,82.5,02,158,02158
"Lake and Peninsula Borough, Alaska",1013,23.2,65625,12.8,8.6,81.5,02,164,02164
"Matanuska-Susitna Borough, Alaska",112988,25.7,94031,10.0,5.8,93.2,02,170,02170
"Nome Census Area, Alaska",9866,33.7,78681,21.5,16.9,88.2,02,180,02180
"North Slope Borough, Alaska",10810,25.7,95694,11.1,7.6,75.1,02,185,02185
"Northwest Arctic Borough, Alaska",7441,37.3,84018,17.9,16.7,88.6,02,188,02188
"Petersburg Borough, Alaska",3409,18.6,75125,7.0,3.8,88.3,02,195,02195
"Prince of Wales-Hyder Census Area, Alaska",5715,21.1,61156,12.7,7.7,84.5,02,198,02198
"Sitka City and Borough, Alaska",8368,19.2,101727,7.5,6.8,90.8,02,220,02220
"Skagway Municipality, Alaska",1244,16.5,81136,5.9,9.1,93.3,02,230,02230
"Southeast Fairbanks Census Area, Alaska",7068,24.3,73882,12.7,6.5,80.9,02,240,02240
"Wrangell City and Borough, Alaska",2088,19.7,63750,12.1,4.3,91.4,02,275,02275
"Yakutat City and Borough, Alaska",527,12.1,85000,11.9,0.9,87.4,02,282,02282
"Yukon-Koyukuk Census Area, Alaska",5195,26.3,55741,16.0,5.4,64.2,02,290,02290
"Apache County, Arizona",65341,26.0,41438,30.5,10.7,60.0,04,001,04001
"Cochise County, Arizona",125566,20.6,59742,15.4,7.4,87.5,04,003,04003
"Coconino County, Arizona",144508,19.5,72966,16.8,5.6,84.2,04,005,04005
"Gila County, Arizona",53795,18.6,61986,16.9,7.1,82.2,04,007,04007
"Graham County, Arizona",39232,25.8,67325,17.3,7.7,84.9,04,009,04009
"Greenlee County, Arizona",9409,25.5,71164,8.2,2.3,90.8,04,011,04011
"La Paz County, Arizona",16664,14.9,49478,17.5,10.0,78.9,04,012,04012
"Maricopa County, Arizona",4559748,22.5,89300,11.0,4.5,93.1,04,013,04013
"Mohave County, Arizona",220517,16.1,57684,16.1,7.3,88.6,04,015,04015
"Navajo County, Arizona",108415,25.2,54606,24.7,8.8,74.2,04,017,04017
"Pima County, Arizona",1060490,19.6,70315,14.3,5.5,91.9,04,019,04019
"Pinal County, Arizona",469006,21.5,80266,11.1,6.0,92.5,04,021,04021
"Santa Cruz County, Arizona",48926,25.8,55217,20.2,12.2,87.9,04,023,04023
"Yavapai County, Arizona",245480,15.4,69613,12.0,4.3,91.6,04,025,04025
"Yuma County, Arizona",211741,24.6,62876,15.6,6.9,88.7,04,027,04027
"Arkansas County, Arkansas",16515,23.2,53164,19.0,8.1,82.5,05,001,05001
"Ashley County, Arkansas",18429,22.5,44266,22.1,5.5,80.0,05,003,05003
"Baxter County, Arkansas",42407,17.7,48452,15.5,6.3,87.2,05,005,05005
"Benton County, Arkansas",303632,25.4,93506,7.6,3.1,94.4,05,007,05007
"Boone County, Arkansas",38138,22.5,55143,11.7,2.5,87.8,05,009,05009
"Bradley County, Arkansas",10208,24.5,41476,19.9,6.6,79.7,05,011,05011
"Calhoun County, Arkansas",4704,19.2,66809,10.2,5.6,83.7,05,013,05013
"Carroll County, Arkansas",28626,21.7,54230,17.2,4.7,87.7,05,015,05015
"Chicot County, Arkansas",9765,21.7,39045,22.6,9.1,80.1,05,017,05017
"Clark County, Arkansas",21125,20.1,52034,21.6,3.8,83.9,05,019,05019
"Clay County, Arkansas",14280,21.5,51481,17.2,6.3,81.6,05,021,05021
"Cleburne County, Arkansas",25226,19.1,55798,13.9,6.4,83.7,05,023,05023
"Cleveland County, Arkansas",7453,21.4,54794,15.8,2.2,79.3,05,025,05025
"Columbia County, Arkansas",22349,21.5,55334,21.1,3.2,80.3,05,027,05027
"Conway County, Arkansas",21054,22.6,54187,19.7,6.4,82.4,05,029,05029
"Craighead County, Arkansas",113249,25.2,59548,20.1,5.6,88.0,05,031,05031
